customerid,recency,total_orders,total_revenue,avg_order_value,total_quantity,avg_quantity_per_order,unique_products,active_months,purchase_frequency,customer_tenure_days,avg_days_between,median_days_between,spending_trend,cancellation_count,cancellation_rate,cancelled_revenue,country_encoded,future_6_month_revenue,future_6_month_orders,predicted_future_revenue,segment
12347,2,5,2453.13,490.626,1573,314.6,99,5,0.6886877828054299,221,55.25,56.5,-0.5755918267807062,0.0,0.0,0.0,Other,1903.38,3,1599.9159,High Future Value
12349,227,2,1921.59,960.795,930,465.0,83,2,0.3345054945054945,182,182.0,182.0,0.2548050972753514,0.0,0.0,0.0,Other,1328.55,1,884.1293,Low Activity
12352,81,6,934.31,155.71833333333333,433,72.16666666666667,35,3,1.3941984732824426,131,26.0,16.0,0.8222624981120675,0.0,0.0,0.0,Other,718.73,3,562.75354,Growing Customer
12356,65,5,3289.41,657.882,1479,295.8,85,4,0.8455555555555556,180,44.75,43.0,-0.7980652727472998,0.0,0.0,0.0,Portugal,32.849999999999994,1,474.28683,Medium Future Value
12357,208,1,9088.32,9088.32,2737,2737.0,146,1,30.44,1,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland,4817.2300000000005,1,4015.7764,Low Activity
12358,195,3,1550.01,516.67,526,175.33333333333334,49,3,0.2557983193277311,357,178.0,178.0,0.8766215689549578,0.0,0.0,0.0,Other,928.06,2,853.0266,Low Activity
12359,9,9,4275.74,475.0822222222222,1632,181.33333333333331,212,7,0.5026788990825689,545,68.125,86.5,0.9472008161127118,0.0,0.0,0.0,Other,1847.15,1,416.0937,Growing Customer
12360,20,4,1896.67,474.1675,1435,358.75,100,4,0.2670175438596491,456,151.66666666666666,171.0,1.439735219441422,0.0,0.0,0.0,Other,1276.78,2,1161.378,Growing Customer
12362,45,2,884.34,442.17,498,249.0,51,2,0.8697142857142857,70,70.0,70.0,0.0371803731859019,0.0,0.0,0.0,Belgium,3627.69,8,2146.6492,High Future Value
12363,61,1,299.1,299.1,282,282.0,16,1,30.44,1,0.0,0.0,0.0,0.0,0.0,0.0,Other,252.9,1,246.0753,Low Future Value
