customerid,recency,total_orders,total_revenue,avg_order_value,total_quantity,avg_quantity_per_order,unique_products,active_months,purchase_frequency,customer_tenure_days,avg_days_between,median_days_between,spending_trend,cancellation_count,cancellation_rate,cancelled_revenue,country_encoded,future_6_month_revenue,future_6_month_orders
12347,2,5,2453.13,490.62600000000003,1573,314.6,99,5,0.6886877828054299,221,55.25,56.5,-0.5755918267807062,0.0,0.0,0.0,Other,1903.38,3
12349,227,2,1921.59,960.795,930,465.0,83,2,0.3345054945054945,182,182.0,182.0,0.25480509727535144,0.0,0.0,0.0,Other,1328.55,1
12352,81,6,934.3100000000001,155.71833333333333,433,72.16666666666667,35,3,1.3941984732824426,131,26.0,16.0,0.8222624981120675,0.0,0.0,0.0,Other,718.73,3
12356,65,5,3289.41,657.882,1479,295.8,85,4,0.8455555555555556,180,44.75,43.0,-0.7980652727472998,0.0,0.0,0.0,Portugal,32.849999999999994,1
12357,208,1,9088.32,9088.32,2737,2737.0,146,1,30.439999999999998,1,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland,4817.2300000000005,1
12358,195,3,1550.01,516.67,526,175.33333333333334,49,3,0.2557983193277311,357,178.0,178.0,0.8766215689549578,0.0,0.0,0.0,Other,928.0600000000001,2
12359,9,9,4275.74,475.0822222222222,1632,181.33333333333334,212,7,0.5026788990825689,545,68.125,86.5,0.9472008161127118,0.0,0.0,0.0,Other,1847.15,1
12360,20,4,1896.67,474.1675,1435,358.75,100,4,0.26701754385964915,456,151.66666666666666,171.0,1.439735219441422,0.0,0.0,0.0,Other,1276.78,2
12362,45,2,884.34,442.17,498,249.0,51,2,0.8697142857142857,70,70.0,70.0,0.03718037318590197,0.0,0.0,0.0,Belgium,3627.69,8
12363,61,1,299.1,299.1,282,282.0,16,1,30.439999999999998,1,0.0,0.0,0.0,0.0,0.0,0.0,Other,252.9,1
12370,93,6,2750.72,458.4533333333333,1383,230.5,143,4,0.4623797468354431,395,98.5,63.5,3.1451872357936477,0.0,0.0,0.0,Other,698.96,1
12371,228,3,1819.42,606.4733333333334,836,278.6666666666667,90,2,0.3869491525423729,236,236.0,236.0,1.7307660761154855,0.0,0.0,0.0,Switzerland,1476.96,1
12372,32,2,842.9200000000001,421.46000000000004,588,294.0,31,2,0.7247619047619048,84,84.0,84.0,0.320687186828919,0.0,0.0,0.0,Other,353.12,1
12374,241,2,2046.29,1023.145,1015,507.5,46,2,0.3645508982035928,167,167.0,167.0,-0.5263010068129114,0.0,0.0,0.0,Other,563.53,1
12378,381,1,1263.77,1263.77,688,688.0,77,1,30.439999999999998,1,0.0,0.0,0.0,0.0,0.0,0.0,Switzerland,3660.7400000000002,1
12379,241,2,692.98,346.49,403,201.5,36,2,0.5387610619469027,113,112.0,112.0,0.148908459439345,0.0,0.0,0.0,Belgium,736.44,2
12380,5,5,4764.47,952.894,2266,453.2,119,4,0.31907756813417193,477,159.0,134.0,-0.8661207257634604,0.0,0.0,0.0,Belgium,1349.32,3
12388,94,5,1886.7,377.34000000000003,870,174.0,52,5,0.4941558441558442,308,76.75,74.5,-0.3161229863001473,0.0,0.0,0.0,Australia,1842.95,3
12391,283,4,1742.53,435.6325,824,206.0,152,3,0.6118592964824121,199,66.0,58.0,-0.7302027996997719,0.0,0.0,0.0,Other,422.71,1
12393,65,5,1723.6000000000001,344.72,968,193.6,52,4,0.8316939890710383,183,45.75,48.0,-0.4756871035940804,0.0,0.0,0.0,Australia,521.5,1
12394,36,1,351.08,351.08,180,180.0,20,1,30.439999999999998,1,0.0,0.0,0.0,0.0,0.0,0.0,Belgium,239.0,1
12395,31,9,2240.55,248.95000000000002,1557,173.0,108,7,0.7006649616368287,391,48.875,41.5,-0.4054613775139843,0.0,0.0,0.0,Belgium,1138.21,6
12399,2,6,1172.1200000000001,195.35333333333335,1116,186.0,51,6,0.39532467532467536,462,92.2,124.0,1.2370957496754948,0.0,0.0,0.0,Belgium,194.62,1
12403,341,1,67.5,67.5,18,18.0,1,1,30.439999999999998,1,0.0,0.0,0.0,0.0,0.0,0.0,Other,391.7,1
12406,3,4,3500.9500000000003,875.2375000000001,1543,385.75,74,4,0.23688715953307396,514,171.33333333333334,197.0,1.691116312415655,0.0,0.0,0.0,Other,1794.05,1
12407,55,2,398.15999999999997,199.07999999999998,320,160.0,20,2,2.0993103448275865,29,29.0,29.0,-0.11566493137718882,0.0,0.0,0.0,Belgium,868.2,3
12408,79,5,1587.03,317.406,974,194.8,61,4,0.6368200836820084,239,79.33333333333333,65.0,0.42384091692519826,0.0,0.0,0.0,Belgium,1295.32,3
12409,2,4,6405.74,1601.435,2014,503.5,81,4,0.317911227154047,383,127.66666666666667,105.0,-0.4861345471217427,0.0,0.0,0.0,Switzerland,1927.55,2
12412,221,3,1109.41,369.80333333333334,874,291.3333333333333,43,3,0.6617391304347826,138,68.5,68.5,-0.8123855911791469,0.0,0.0,0.0,Other,1115.04,3
12413,55,3,652.55,217.51666666666665,231,77.0,34,3,0.5468263473053893,167,83.0,83.0,-0.8509420672653636,0.0,0.0,0.0,France,176.20000000000002,1
12415,25,8,10342.27,1292.78375,2939,367.375,135,8,0.7562732919254659,322,45.857142857142854,40.0,0.297133655394525,0.0,0.0,0.0,Australia,6070.47,7
12417,6,16,3679.77,229.985625,1747,109.1875,188,13,0.8903839122486289,547,36.4,37.0,0.32936832085547046,0.0,0.0,0.0,Belgium,1293.48,4
12418,233,3,1338.7,446.23333333333335,633,211.0,60,3,0.4208294930875576,217,108.5,108.5,-0.4775562657083395,0.0,0.0,0.0,Switzerland,654.66,1
12421,138,3,348.06,116.02,268,89.33333333333333,25,3,0.4883422459893048,187,93.0,93.0,1.5993975903614461,0.0,0.0,0.0,Spain,478.12,3
12422,144,10,2184.69,218.469,1181,118.1,101,9,0.766750629722922,397,44.111111111111114,43.0,0.7275553391512792,0.0,0.0,0.0,Switzerland,445.06,2
12423,11,8,1907.3700000000001,238.42125000000001,1421,177.625,109,8,0.8887591240875912,274,39.142857142857146,34.0,0.21784630411274303,0.0,0.0,0.0,Belgium,347.62,2
12424,242,2,1244.03,622.015,877,438.5,52,2,0.48317460317460315,126,126.0,126.0,1.539203413940256,0.0,0.0,0.0,Australia,1148.72,2
12425,267,1,923.89,923.89,555,555.0,53,1,30.439999999999998,1,0.0,0.0,0.0,0.0,0.0,0.0,Portugal,631.7,1
